"","colnames(Master_2)"
"1","AUTHOR"
"2","TITLE"
"3","PDF_URL"
"4","LOCAL_PDF_FILE"
"5","DATE"
"6","TEXT"
"7","PDF_TEXT1"
"8","PDF_TEXT2"
"9","PDF_TEXT3"
"10","PDF_TEXT4"
"11","PDF_TEXT5"
"12","PDF_TEXT6"
"13","PDF_TEXT7"
"14","PDF_TEXT8"
"15","PDF_TEXT9"
"16","PDF_TEXT10"
"17","PDF_TEXT11"
"18","PDF_TEXT12"
"19","SECTION"
"20","RECORD_ID"
"21","PDF_TEXT13"
"22","PDF_TEXT14"
"23","PDF_TEXT15"
"24","PDF_TEXT16"
"25","PDF_TEXT17"
"26","PDF_TEXT18"
"27","PDF_TEXT19"
"28","PDF_TEXT20"
"29","PDF_TEXT21"
"30","PDF_TEXT22"
"31","PDF_TEXT23"
"32","PDF_TEXT"
"33","PDF_TEXT24"
"34","PDF_TEXT25"
"35","PDF_TEXT26"
"36","PDF_TEXT27"
"37","PDF_TEXT28"
"38","PDF_TEXT29"
"39","PDF_TEXT30"
"40","PDF_TEXT31"
"41","PDF_TEXT32"
"42","PDF_TEXT33"
"43","PDF_TEXT34"
"44","PDF_TEXT35"
"45","PDF_TEXT36"
"46","PDF_TEXT37"
